scientificName,canonicalName,authorship,family,epithet,description
"Ursus etruscus Cuvier, 1823",Ursus etruscus,"Cuvier, 1823",Ursidae,etruscus,a bear from Etruria
"Ursus euryspilus Horsfield, 1825",Ursus euryspilus,"Horsfield, 1825",Ursidae,euryspilus,a broad-spotted bear
"Ursus gedrosianus Blanford, 1877",Ursus gedrosianus,"Blanford, 1877",Ursidae,gedrosianus,a bear from Gedrosia
Ursus ingressus,Ursus ingressus,,Ursidae,ingressus,a bear that resembles entering or invading
"Ursus inniutus Merriam, 1914",Ursus inniutus,"Merriam, 1914",Ursidae,inniutus,a unarmed bear
"Ursus isabellinus Horsfield, 1826",Ursus isabellinus,"Horsfield, 1826",Ursidae,isabellinus,a bear that resembles dirty yellow or grey
"Ursus kokeni Matthew & Granger, 1923",Ursus kokeni,"Matthew & Granger, 1923",Ursidae,kokeni,a bear named after Koken
"Ursus kwakiuti Merriam, 1916",Ursus kwakiuti,"Merriam, 1916",Ursidae,kwakiuti,a bear named after the Kwakiutl people
"Ursus maritimus Linnaeus, 1758",Ursus maritimus,"Linnaeus, 1758",Ursidae,maritimus,a bear that resembles of the sea
"Ursus maritimus Phipps, 1774",Ursus maritimus,"Phipps, 1774",Ursidae,maritimus,a bear that resembles of the sea
"Ursus middendorffi Merriam, 1896",Ursus middendorffi,"Merriam, 1896",Ursidae,middendorffi,a bear named after Middendorff
"Ursus minimus Devéze & Bouillet, 1827",Ursus minimus,"Devéze & Bouillet, 1827",Ursidae,minimus,a bear that resembles smallest
"Ursus novaehollandiae Bechstein, 1800",Ursus novaehollandiae,"Bechstein, 1800",Ursidae,novaehollandiae,a bear from New Holland
"Ursus orgildoies Merriam, 1918",Ursus orgildoies,"Merriam, 1918",Ursidae,orgildoies,a golden-eyed bear
"Ursus perturans Merriam, 1918",Ursus perturans,"Merriam, 1918",Ursidae,perturans,a bear that resembles disturbing
"Ursus praemalayanus von Koenigswald, 1935",Ursus praemalayanus,"von Koenigswald, 1935",Ursidae,praemalayanus,a bear that resembles before the Malayan
"Ursus priscus Goldfuss, 1818",Ursus priscus,"Goldfuss, 1818",Ursidae,priscus,a bear that resembles ancient or primitive
"Ursus pruinosus Blyth, 1854",Ursus pruinosus,"Blyth, 1854",Ursidae,pruinosus,a bear that resembles frosty or covered with hoarfrost
"Ursus sitkensis Merriam, 1896",Ursus sitkensis,"Merriam, 1896",Ursidae,sitkensis,a bear from the Sitka region
"Ursus spec Linnaeus, 1758",Ursus spec,"Linnæus, 1758",Ursidae,spec,a bear that resembles of a particular species
"Ursus spelaeus Rosenmüller, 1794",Ursus spelaeus,"Rosenmüller, 1794",Ursidae,spelaeus,a bear that resembles cave-dwelling
"Ursus stikeenensis Merriam, 1914",Ursus stikeenensis,"Merriam, 1914",Ursidae,stikeenensis,a bear from the Stikine region
"Ursus tahitanicus Merriam, 1914",Ursus tahitanicus,"Merriam, 1914",Ursidae,tahitanicus,a bear from Tahiti
Ursus thibetanus G,Ursus thibetanus,G,Ursidae,thibetanus,a bear from Tibet
"Ursus vitabilis Gidley, 1913",Ursus vitabilis,"Gidley, 1913",Ursidae,vitabilis,"a bear that resembles avoiding, evading"
"Zaragocyon daamsi Ginsburg & Morales, 1995",Zaragocyon daamsi,"Ginsburg & Morales, 1995",Ursidae,daamsi,a bear named after Daams
"Blastocerus blicki (Frick, 1937)",Blastocerus blicki,"(Frick, 1937) ",Cervidae,blicki,a deer named after Blick
"Alces alces (Linnaeus, 1758)",Alces alces,"(Linnaeus, 1758) ",Cervidae,alces,a elk-like deer
"Alces americanus (Clinton, 1822)",Alces americanus,"(Clinton, 1822) ",Cervidae,americanus,a deer from the Americas
"Alces machlis Gray, 1821",Alces machlis,"Gray, 1821",Cervidae,machlis,a slender-limbed deer
"Amphimoschus xishuiensis Li, Mennecart, Aiglstorfer, Ni, Li & Deng, 2021",Amphimoschus xishuiensis,"Li, Mennecart, Aiglstorfer, Ni, Li & Deng, 2021",Cervidae,xishuiensis,a deer from Xishui
"Antifer crassus Rusconi, 1934",Antifer crassus,"Rusconi, 1934",Cervidae,crassus,a deer that resembles thick or stout
"Antifer niemeyeri Casamiquela, 1984",Antifer niemeyeri,"Casamiquela, 1984",Cervidae,niemeyeri,a deer named after Niemeyer
"Cervus ultra (Ameghino, 1888)",Cervus ultra,"(Ameghino, 1888) ",Cervidae,ultra,a deer that resembles beyond or extreme
"Axis axis (Erxleben, 1777)",Axis axis,"(Erxleben, 1777) ",Cervidae,axis,a deer that resembles central line or pivot
"Axis calamianensis (Heude, 1888)",Axis calamianensis,"(Heude, 1888) ",Cervidae,calamianensis,a deer from the Calamian Islands
"Axis kuhlii (Temminck, 1836)",Axis kuhlii,"(Temminck, 1836) ",Cervidae,kuhlii,a deer named after Heinrich Kuhl
"Axis porcinus (Zimmermann, 1780)",Axis porcinus,"(Zimmermann, 1780) ",Cervidae,porcinus,a pig-like deer
"Blastocerus dichotomus (Illiger, 1815)",Blastocerus dichotomus,"(Illiger, 1815) ",Cervidae,dichotomus,a deer that resembles forking in pairs
"Blastocerus extraneus Simpson, 1928",Blastocerus extraneus,"Simpson, 1928",Cervidae,extraneus,a deer that resembles foreign or external
"Cervus aspeitianus (Ameghino, 1888)",Cervus aspeitianus,"(Ameghino, 1888) ",Cervidae,aspeitianus,a deer from Aspet
"Cervus campestris (Cuvier, 1817)",Cervus campestris,"(Cuvier, 1817) ",Cervidae,campestris,a deer that resembles of the fields or plains
"Cervus paludosus (Desmarest, 1822)",Cervus paludosus,"(Desmarest, 1822) ",Cervidae,paludosus,a deer that resembles of marshes or swamps
"Bretzia nebrascensis Gunnell & Foral, 1994",Bretzia nebrascensis,"Gunnell & Foral, 1994",Cervidae,nebrascensis,a deer from Nebraska
"Bretzia pseudalces Fry & Gustafson, 1974",Bretzia pseudalces,"Fry & Gustafson, 1974",Cervidae,pseudalces,a deer that resembles false moose
"Anoglochis cretensis (Simonelli, 1907)",Anoglochis cretensis,"(Simonelli, 1907) ",Cervidae,cretensis,a deer from Crete
"Candiacervus devosi van der Geer, 2018",Candiacervus devosi,"van der Geer, 2018",Cervidae,devosi,a deer named after De Vos
"Candiacervus listeri van der Geer, 2018",Candiacervus listeri,"van der Geer, 2018",Cervidae,listeri,a deer named after Joseph Lister
"Candiacervus rethymnensis (Kuss, 1975)",Candiacervus rethymnensis,"(Kuss, 1975) ",Cervidae,rethymnensis,a deer from Rethymno
"Candiacervus reumeri van der Geer, 2018",Candiacervus reumeri,"van der Geer, 2018",Cervidae,reumeri,a deer named after Reumer
"Candiacervus ropalophorus de Vos, 1979",Candiacervus ropalophorus,"de Vos, 1979",Cervidae,ropalophorus,a deer that resembles club-bearing
"Cervus dorothensis (Capasso Barbato, 1992)",Cervus dorothensis,"(Capasso Barbato, 1992) ",Cervidae,dorothensis,a deer from Dorothy
"Cervus major (Capasso Barbato & Petronio, 1986)",Cervus major,"(Capasso Barbato & Petronio, 1986) ",Cervidae,major,a deer that resembles larger or greater
"Capreolus capreolus (Linnaeus, 1758)",Capreolus capreolus,"(Linnaeus, 1758) ",Cervidae,capreolus,a deer that resembles little goat
"Capreolus constantini Vislobokova et al., 1995",Capreolus constantini,"Vislobokova et al., 1995",Cervidae,constantini,a deer named after Constantine
"Capreolus formosanus Shikama, 1937",Capreolus formosanus,"Shikama, 1937",Cervidae,formosanus,a deer from or of Taiwan
"Capreolus pygargus (Pallas, 1771)",Capreolus pygargus,"(Pallas, 1771) ",Cervidae,pygargus,a white-rumped deer
"Capreolus sussenbornensis Kahlke, 1956",Capreolus sussenbornensis,"Kahlke, 1956",Cervidae,sussenbornensis,a deer from Süssenborn
"Cervus brachycerus (Gervais & Ameghino, 1880)",Cervus brachycerus,"(Gervais & Ameghino, 1880) ",Cervidae,brachycerus,a short-horned deer
"Cervus latifrons (Johnson, 1874)",Cervus latifrons,"(Johnson, 1874) ",Cervidae,latifrons,a broad-leaved deer
"Cervus scotti (Lydekker, 1898)",Cervus scotti,"(Lydekker, 1898) ",Cervidae,scotti,a deer named after Scott
"Cervavitus cauvieri de Christol, 1832",Cervavitus cauvieri,"de Christol, 1832",Cervidae,cauvieri,a deer named after Cuvier
"Alces brevitrabalis (Cope, 1889)",Alces brevitrabalis,"(Cope, 1889) ",Cervidae,brevitrabalis,a short-stemmed deer
"Cervus anocerus Kaup, 1839",Cervus anocerus,"Kaup, 1839",Cervidae,anocerus,a deer that resembles without horns
"Cervus bertholdi Kaup, 1839",Cervus bertholdi,"Kaup, 1839",Cervidae,bertholdi,a deer named after Berthold
"Cervus cornaliai D'Erasmo, 1933",Cervus cornaliai,"D'Erasmo, 1933",Cervidae,cornaliai,a deer named after Cornaglia
"Cervus costrizensis Holl, 1829",Cervus costrizensis,"Holl, 1829",Cervidae,costrizensis,a deer from the Costriz region
"Cervus curtocerus Kaup, 1839",Cervus curtocerus,"Kaup, 1839",Cervidae,curtocerus,a short-horned deer
"Cervus dicranocerus Kaup, 1839",Cervus dicranocerus,"Kaup, 1839",Cervidae,dicranocerus,a forked-horned deer
"Cervus elaphoides Kahlke, 1960",Cervus elaphoides,"Kahlke, 1960",Cervidae,elaphoides,a deer that resembles resembling a deer
"Cervus elaphus Linnaeus, 1758",Cervus elaphus,"Linnaeus, 1758",Cervidae,elaphus,a deer-like deer
"Cervus fortis Cope, 1877",Cervus fortis,"Cope, 1877",Cervidae,fortis,a deer that resembles strong or robust
"Cervus hanglu Wagner, 1844",Cervus hanglu,"Wagner, 1844",Cervidae,hanglu,a deer from the Han River
"Cervus humilis Bennett, 1830",Cervus humilis,"Bennett, 1830",Cervidae,humilis,a deer that resembles low-growing
"Cervus kokubuni Shikama, 1937",Cervus kokubuni,"Shikama, 1937",Cervidae,kokubuni,a deer named after Kokubun
"Cervus kopschi Swinhoe, 1873",Cervus kopschi,"Swinhoe, 1873",Cervidae,kopschi,a deer named after Kopsch
"Cervus latus Ameghino, 1889",Cervus latus,"Ameghino, 1889",Cervidae,latus,a deer that resembles broad or wide
"Cervus lydekkeri (Martin, 1888)",Cervus lydekkeri,"(Martin, 1888) ",Cervidae,lydekkeri,a deer named after Lydekker
"Cervus mediterraneus Holl, 1829",Cervus mediterraneus,"Holl, 1829",Cervidae,mediterraneus,a deer from the Mediterranean region
Cervus megaceros,Cervus megaceros,,Cervidae,megaceros,a large-horned deer
"Cervus nanus Kaup, 1839",Cervus nanus,"Kaup, 1839",Cervidae,nanus,a deer that resembles dwarf or very small
"Cervus nippon Temminck, 1838",Cervus nippon,"Temminck, 1838",Cervidae,nippon,a deer from Japan
"Cervus nudipalpebra Ogilby, 1831",Cervus nudipalpebra,"Ogilby, 1831",Cervidae,nudipalpebra,a bare-eyed deer
"Cervus obscurus (Azzaroli, 1953)",Cervus obscurus,"(Azzaroli, 1953) ",Cervidae,obscurus,a deer that resembles dark or hidden
"Cervus partschii Kaup, 1839",Cervus partschii,"Kaup, 1839",Cervidae,partschii,a deer named after Partsch
"Cervus pulchellus Imaizumi, 1970",Cervus pulchellus,"Imaizumi, 1970",Cervidae,pulchellus,a deer that resembles pretty and small
"Cervus ruscinensis Depéret, 1890",Cervus ruscinensis,"Depéret, 1890",Cervidae,ruscinensis,a deer from Ruscino
"Cervus sedgwickii Leny, 1902",Cervus sedgwickii,"Leny, 1902",Cervidae,sedgwickii,a deer named after Sedgwick
"Cervus sintikuensis Shikama, 1937",Cervus sintikuensis,"Shikama, 1937",Cervidae,sintikuensis,a deer from Sintiku
"Cervus syatinensis Shikama, 1937",Cervus syatinensis,"Shikama, 1937",Cervidae,syatinensis,a deer from the Seyatin River
"Cervus timoriensis de Blainville, 1822",Cervus timoriensis,"de Blainville, 1822",Cervidae,timoriensis,a deer from Timor
"Cervus trigonocerus Kaup, 1839",Cervus trigonocerus,"Kaup, 1839",Cervidae,trigonocerus,a three-horned deer
"Cervus wallichii G.Cuvier, 1823",Cervus wallichii,"G.Cuvier, 1823",Cervidae,wallichii,a deer named after Nathaniel Wallich
"Cervus xanthopygus Milne-Edwards, 1867",Cervus xanthopygus,"Milne-Edwards, 1867",Cervidae,xanthopygus,a yellow-rumped deer
Cervus yesoensis,Cervus yesoensis,,Cervidae,yesoensis,"a deer from Hokkaido, Japan"
"Cervus ramosus (Croizet & Jobert, 1828)",Cervus ramosus,"(Croizet & Jobert, 1828) ",Cervidae,ramosus,a branched deer
"Croizetoceros proramosus Dong, 1996",Croizetoceros proramosus,"Dong, 1996",Cervidae,proramosus,a much-branched deer
"Cariacus laevicornis (Cope, 1896)",Cariacus laevicornis,"(Cope, 1896) ",Cervidae,laevicornis,a smooth-horned deer
"Cervus somonensis (Cuvier, 1800)",Cervus somonensis,"(Cuvier, 1800) ",Cervidae,somonensis,a deer from the Sômon River
Dama clactoniana Falconer,Dama clactoniana,Falconer,Cervidae,clactoniana,a deer from Clacton
"Dama dama (Linnaeus, 1758)",Dama dama,"(Linnaeus, 1758) ",Cervidae,dama,a deer that resembles fallow deer
"Dicrocerus elegans Lartet, 1837",Dicrocerus elegans,"Lartet, 1837",Cervidae,elegans,a deer that resembles elegant or graceful
"Elaphodus cephalophus Milne-Edwards, 1872",Elaphodus cephalophus,"Milne-Edwards, 1872",Cervidae,cephalophus,a deer that resembles with a head like a deer
"Elaphurus davidiamis (Milne-Edwards, 1866)",Elaphurus davidiamis,"(Milne-Edwards, 1866) ",Cervidae,davidiamis,a deer named after David
"Elaphurus davidianus Milne-Edwards, 1866",Elaphurus davidianus,"Milne-Edwards, 1866",Cervidae,davidianus,a deer named after David
"Eocoileus gentryorum Webb, 2000",Eocoileus gentryorum,"Webb, 2000",Cervidae,gentryorum,a deer named after the Gentry family
Eostyloceros hezhengensis,Eostyloceros hezhengensis,,Cervidae,hezhengensis,a deer from Hezheng
"Epieuryceros truncus Ameghino, 1889",Epieuryceros truncus,"Ameghino, 1889",Cervidae,truncus,a truncated deer
"Eucladoceros montenegrensis van der Made & Dimitrijevic, 2015",Eucladoceros montenegrensis,"van der Made & Dimitrijevic, 2015",Cervidae,montenegrensis,a deer from Montenegro
Euprox grandis,Euprox grandis,,Cervidae,grandis,a deer that resembles large or big
"Euprox robustus Dong et al., 2003",Euprox robustus,"Dong et al., 2003",Cervidae,robustus,a deer that resembles strong or robust
"Harana harai Almeida, _lvarez-Presas & Carbayo, 2023",Harana harai,"Almeida, _lvarez-Presas & Carbayo, 2023",Cervidae,harai,a deer named after Hara
"Cervus seleniticus (Ameghino, 1888)",Cervus seleniticus,"(Ameghino, 1888) ",Cervidae,seleniticus,a deer that resembles moon-like or from the moon
"Cervus sulcatus (Ameghino, 1882)",Cervus sulcatus,"(Ameghino, 1882) ",Cervidae,sulcatus,a grooved or furrowed deer
"Equus bisulcus (Molina, 1782)",Equus bisulcus,"(Molina, 1782) ",Cervidae,bisulcus,a split-hoofed deer
"Hippocamelus antisensis (d'Orbigny, 1834)",Hippocamelus antisensis,"(d'Orbigny, 1834) ",Cervidae,antisensis,a deer from the Antisana region
Hippocamelus antisiensis (D'Orbigny),Hippocamelus antisiensis,(D'Orbigny) ,Cervidae,antisiensis,a deer from the Antisana region
"Hippocamelus bisulcus (Molina, 1782)",Hippocamelus bisulcus,"(Molina, 1782) ",Cervidae,bisulcus,a split-hoofed deer
"Hydropotes inermis Swinhoe, 1870",Hydropotes inermis,"Swinhoe, 1870",Cervidae,inermis,a deer that resembles without spines or thorns
"Libralces gallicus Azzaroli, 1952",Libralces gallicus,"Azzaroli, 1952",Cervidae,gallicus,a deer from Gaul/France
"Libralces minor Vislobokova, 1986",Libralces minor,"Vislobokova, 1986",Cervidae,minor,a deer that resembles smaller or lesser
"Libralces reynoldsi Azzaroli, 1953",Libralces reynoldsi,"Azzaroli, 1953",Cervidae,reynoldsi,a deer named after Reynolds
"Lucentia iberica Azanza & Montoya, 1995",Lucentia iberica,"Azanza & Montoya, 1995",Cervidae,iberica,a deer from the Iberian Peninsula
"Mazama americana (Erxleben, 1777)",Mazama americana,"(Erxleben, 1777) ",Cervidae,americana,a deer from the Americas
"Mazama bicenii Thomas, 1908",Mazama bicenii,"Thomas, 1908",Cervidae,bicenii,a having two hundred deer
"Mazama bororo Duarte, 1996",Mazama bororo,"Duarte, 1996",Cervidae,bororo,a deer named after the Bororo people
"Mazama bricenii Thomas, 1908",Mazama bricenii,"Thomas, 1908",Cervidae,bricenii,a deer named after Briceño
"Mazama chunyi Hershkovitz, 1959",Mazama chunyi,"Hershkovitz, 1959",Cervidae,chunyi,a deer named after Chunyi Zhi
"Mazama dorsata Rafinesque, 1817",Mazama dorsata,"Rafinesque, 1817",Cervidae,dorsata,a deer that resembles with a back
Mazama gouazoubira G.Fischer,Mazama gouazoubira,G.Fischer,Cervidae,gouazoubira,a deer-like deer
"Mazama nana (Hensel, 1872)",Mazama nana,"(Hensel, 1872) ",Cervidae,nana,a deer that resembles dwarf or very small
"Mazama pandora Merriam, 1901",Mazama pandora,"Merriam, 1901",Cervidae,pandora,a all-gifted deer
"Mazama rufina (Bourcier & Pucheran, 1852)",Mazama rufina,"(Bourcier & Pucheran, 1852) ",Cervidae,rufina,a reddish or rust-colored deer
"Mazama sericea Rafinesque, 1817",Mazama sericea,"Rafinesque, 1817",Cervidae,sericea,a silky or silken-haired deer
"Mazama temama (Kerr, 1792)",Mazama temama,"(Kerr, 1792) ",Cervidae,temama,a deer that resembles having a cut
"Mazama tienhoveni Van Roosmalen & Van Hooft, 2015",Mazama tienhoveni,"Van Roosmalen & Van Hooft, 2015",Cervidae,tienhoveni,a deer named after van Tienhoven
"Megaceroides verticornis (Dawkins, 1872)",Megaceroides verticornis,"(Dawkins, 1872) ",Cervidae,verticornis,a deer that resembles with horns pointing upward
"Cervus algericus (Lydekker, 1890)",Cervus algericus,"(Lydekker, 1890) ",Cervidae,algericus,a deer from Algeria
"Megaceros baotouensis Huang et al., 1989",Megaceros baotouensis,"Huang et al., 1989",Cervidae,baotouensis,a deer from Baotou
"Megaloceros cazioti (Depéret, 1897)",Megaloceros cazioti,"(Depéret, 1897) ",Cervidae,cazioti,a deer named after Caziot
"Megaloceros euryceros Aldrovandi-Brookes, 1827",Megaloceros euryceros,"Aldrovandi-Brookes, 1827",Cervidae,euryceros,a broad-horned deer
"Megaloceros giganteus (Blumenbach, 1799)",Megaloceros giganteus,"(Blumenbach, 1799) ",Cervidae,giganteus,a deer that resembles very large
"Megaloceros luochuanensis Xue, 1982",Megaloceros luochuanensis,"Xue, 1982",Cervidae,luochuanensis,a deer from Luochuan
"Megaloceros matritensis van der Made, 2019",Megaloceros matritensis,"van der Made, 2019",Cervidae,matritensis,a deer from Madrid
"Megaloceros novocarthaginiensis van der Made, 2015",Megaloceros novocarthaginiensis,"van der Made, 2015",Cervidae,novocarthaginiensis,a deer from New Carthage
"Megaloceros sardus van der Made & Palombo, 2006",Megaloceros sardus,"van der Made & Palombo, 2006",Cervidae,sardus,a deer from Sardinia
"Cervus brachyceros (Gervais & Ameghino, 1880)",Cervus brachyceros,"(Gervais & Ameghino, 1880) ",Cervidae,brachyceros,a short-horned deer
"Muntiacus atherodes Groves & Grubb, 1982",Muntiacus atherodes,"Groves & Grubb, 1982",Cervidae,atherodes,a deer that resembles rough or scurfy
"Muntiacus crinifrons (Sclater, 1885)",Muntiacus crinifrons,"(Sclater, 1885) ",Cervidae,crinifrons,a hairy- or shaggy-fronted deer
"Muntiacus feae (Thomas & Doria, 1889)",Muntiacus feae,"(Thomas & Doria, 1889) ",Cervidae,feae,a deer named after Leonardo Fea
"Muntiacus gongshanensis Ma, 1990",Muntiacus gongshanensis,"Ma, 1990",Cervidae,gongshanensis,a deer from Gongshan County
"Muntiacus muntjak (Zimmermann, 1780)",Muntiacus muntjak,"(Zimmermann, 1780) ",Cervidae,muntjak,a deer-like deer
"Muntiacus puhoatensis Trai, 1997",Muntiacus puhoatensis,"Trai, 1997",Cervidae,puhoatensis,a deer from Puerto Hoa
"Muntiacus putaoensis Amato, Egan & Rabinowitz, 1999",Muntiacus putaoensis,"Amato, Egan & Rabinowitz, 1999",Cervidae,putaoensis,a deer from Putao
"Muntiacus reevesi (Ogilby, 1839)",Muntiacus reevesi,"(Ogilby, 1839) ",Cervidae,reevesi,a deer named after John Reeves
"Muntiacus rooseveltorum Osgood, 1932",Muntiacus rooseveltorum,"Osgood, 1932",Cervidae,rooseveltorum,a deer named after the Roosevelt family
"Muntiacus truongsonensis (Giao, Tuoc, Dung, Wikramanayake, Amato, Arctander & Mackinnon, 1997)",Muntiacus truongsonensis,"(Giao, Tuoc, Dung, Wikramanayake, Amato, Arctander & Mackinnon, 1997) ",Cervidae,truongsonensis,a deer from the Trường Sơn mountains
